28 sept. 2020 à 11:58:04
RngSeed: 1601287081307
BirthTreshold: 20
GrassEnergy: 5.0
GrassGrowthRate: 50
GridSize: 20
NumInitGrass: 100
NumInitRabbits: 30

"tick", "Number of grass tile", "Number of rabbits"
345.0, 19.0, 293.0
346.0, 22.0, 298.0
347.0, 20.0, 291.0
348.0, 20.0, 295.0
349.0, 15.0, 295.0
350.0, 15.0, 295.0
350.0, 14.0, 298.0
351.0, 16.0, 301.0
352.0, 17.0, 304.0
353.0, 25.0, 309.0
354.0, 21.0, 309.0
355.0, 21.0, 309.0
355.0, 19.0, 308.0
356.0, 26.0, 304.0
357.0, 22.0, 310.0
358.0, 12.0, 318.0
359.0, 17.0, 319.0
360.0, 17.0, 319.0
360.0, 14.0, 317.0
361.0, 12.0, 312.0
362.0, 16.0, 315.0
363.0, 14.0, 316.0
364.0, 17.0, 311.0
365.0, 17.0, 311.0
365.0, 16.0, 311.0
366.0, 15.0, 307.0
367.0, 11.0, 309.0
368.0, 13.0, 304.0
369.0, 16.0, 303.0
370.0, 16.0, 303.0
370.0, 17.0, 302.0
371.0, 20.0, 303.0
372.0, 24.0, 297.0
373.0, 20.0, 292.0
374.0, 20.0, 288.0
375.0, 21.0, 292.0
375.0, 21.0, 292.0
376.0, 18.0, 292.0
377.0, 28.0, 293.0
378.0, 21.0, 293.0
379.0, 24.0, 293.0
380.0, 21.0, 296.0
380.0, 21.0, 296.0
381.0, 21.0, 302.0
382.0, 20.0, 302.0
383.0, 23.0, 303.0
384.0, 17.0, 299.0
385.0, 17.0, 299.0
385.0, 16.0, 303.0
386.0, 19.0, 304.0
387.0, 24.0, 304.0
388.0, 20.0, 299.0
389.0, 28.0, 301.0
390.0, 28.0, 301.0
390.0, 26.0, 295.0
391.0, 19.0, 291.0
392.0, 26.0, 288.0
393.0, 29.0, 290.0
394.0, 25.0, 286.0
395.0, 25.0, 286.0
395.0, 21.0, 288.0
396.0, 18.0, 288.0
397.0, 21.0, 292.0
398.0, 27.0, 291.0
399.0, 26.0, 288.0
400.0, 23.0, 295.0
400.0, 23.0, 295.0
401.0, 31.0, 290.0
402.0, 31.0, 289.0
403.0, 29.0, 289.0
404.0, 26.0, 296.0
405.0, 26.0, 295.0
405.0, 26.0, 295.0
406.0, 31.0, 297.0
407.0, 25.0, 300.0
408.0, 16.0, 299.0
409.0, 15.0, 304.0
410.0, 17.0, 306.0
410.0, 17.0, 306.0
411.0, 20.0, 304.0
412.0, 22.0, 305.0
413.0, 16.0, 306.0
414.0, 15.0, 306.0
415.0, 15.0, 306.0
415.0, 13.0, 302.0
416.0, 17.0, 307.0
417.0, 18.0, 302.0
418.0, 19.0, 301.0
419.0, 20.0, 302.0
420.0, 22.0, 303.0
420.0, 22.0, 303.0
421.0, 21.0, 305.0
422.0, 13.0, 314.0
423.0, 15.0, 310.0
424.0, 17.0, 310.0
425.0, 19.0, 308.0
425.0, 19.0, 308.0
426.0, 15.0, 310.0
427.0, 17.0, 313.0
428.0, 24.0, 310.0
429.0, 21.0, 303.0
430.0, 21.0, 303.0
