"tick", "Number of grass tile", "Number of rabbits"
649.0, 24.0, 226.0
650.0, 24.0, 226.0
651.0, 22.0, 228.0
652.0, 27.0, 227.0
653.0, 29.0, 212.0
654.0, 29.0, 212.0
655.0, 29.0, 211.0
656.0, 40.0, 216.0
657.0, 40.0, 216.0
658.0, 36.0, 199.0
659.0, 42.0, 203.0
660.0, 36.0, 215.0
661.0, 36.0, 215.0
662.0, 27.0, 228.0
663.0, 30.0, 228.0
664.0, 30.0, 228.0
665.0, 22.0, 231.0
666.0, 22.0, 231.0
667.0, 22.0, 218.0
668.0, 26.0, 211.0
669.0, 27.0, 216.0
670.0, 27.0, 216.0
671.0, 40.0, 202.0
672.0, 40.0, 202.0
673.0, 51.0, 207.0
674.0, 46.0, 203.0
675.0, 46.0, 203.0
676.0, 34.0, 220.0
677.0, 28.0, 221.0
678.0, 28.0, 221.0
679.0, 22.0, 229.0
680.0, 30.0, 217.0
681.0, 30.0, 217.0
682.0, 24.0, 212.0
683.0, 31.0, 209.0
684.0, 32.0, 207.0
685.0, 40.0, 211.0
686.0, 40.0, 211.0
687.0, 39.0, 202.0
688.0, 39.0, 202.0
689.0, 38.0, 210.0
690.0, 37.0, 217.0
691.0, 38.0, 219.0
692.0, 38.0, 219.0
693.0, 32.0, 220.0
694.0, 36.0, 214.0
695.0, 28.0, 228.0
696.0, 26.0, 223.0
697.0, 30.0, 220.0
698.0, 33.0, 221.0
699.0, 31.0, 220.0
700.0, 31.0, 220.0
701.0, 39.0, 213.0
702.0, 39.0, 213.0
703.0, 33.0, 208.0
704.0, 33.0, 208.0
705.0, 32.0, 218.0
706.0, 34.0, 214.0
707.0, 33.0, 221.0
708.0, 33.0, 221.0
709.0, 33.0, 220.0
710.0, 33.0, 220.0
711.0, 29.0, 223.0
712.0, 28.0, 221.0
713.0, 27.0, 219.0
714.0, 27.0, 219.0
715.0, 34.0, 225.0
716.0, 27.0, 231.0
717.0, 27.0, 231.0
718.0, 35.0, 218.0
719.0, 37.0, 213.0
720.0, 37.0, 213.0
721.0, 32.0, 207.0
722.0, 31.0, 226.0
723.0, 24.0, 228.0
724.0, 24.0, 228.0
725.0, 29.0, 214.0
726.0, 29.0, 210.0
727.0, 33.0, 217.0
728.0, 33.0, 217.0
729.0, 31.0, 219.0
730.0, 30.0, 222.0
731.0, 30.0, 222.0
732.0, 29.0, 227.0
733.0, 26.0, 227.0
734.0, 35.0, 220.0
735.0, 35.0, 220.0
736.0, 31.0, 220.0
737.0, 35.0, 215.0
738.0, 38.0, 207.0
739.0, 31.0, 206.0
740.0, 28.0, 226.0
741.0, 28.0, 226.0
742.0, 23.0, 227.0
743.0, 29.0, 220.0
744.0, 36.0, 210.0
745.0, 36.0, 210.0
746.0, 31.0, 202.0
747.0, 31.0, 202.0
748.0, 36.0, 206.0
749.0, 36.0, 206.0
750.0, 38.0, 209.0
751.0, 40.0, 209.0
752.0, 40.0, 209.0
753.0, 36.0, 216.0
754.0, 31.0, 217.0
755.0, 25.0, 233.0
756.0, 30.0, 230.0
757.0, 28.0, 221.0
758.0, 28.0, 221.0
759.0, 28.0, 221.0
760.0, 28.0, 221.0
761.0, 26.0, 210.0
762.0, 32.0, 204.0
763.0, 27.0, 215.0
764.0, 34.0, 222.0
765.0, 33.0, 202.0
766.0, 33.0, 202.0
767.0, 29.0, 210.0
768.0, 33.0, 222.0
769.0, 33.0, 222.0
770.0, 33.0, 221.0
771.0, 27.0, 224.0
772.0, 27.0, 224.0
773.0, 29.0, 227.0
774.0, 32.0, 218.0
775.0, 34.0, 224.0
776.0, 34.0, 224.0
777.0, 33.0, 212.0
778.0, 41.0, 211.0
779.0, 41.0, 203.0
780.0, 43.0, 203.0
781.0, 29.0, 217.0
782.0, 23.0, 223.0
783.0, 23.0, 223.0
784.0, 25.0, 229.0
785.0, 32.0, 226.0
786.0, 28.0, 233.0
787.0, 28.0, 221.0
788.0, 31.0, 218.0
789.0, 31.0, 218.0
790.0, 32.0, 216.0
791.0, 36.0, 221.0
792.0, 42.0, 205.0
793.0, 42.0, 205.0
794.0, 37.0, 208.0
795.0, 37.0, 208.0
796.0, 29.0, 221.0
797.0, 29.0, 221.0
798.0, 31.0, 222.0
799.0, 31.0, 222.0
800.0, 31.0, 222.0
801.0, 22.0, 237.0
802.0, 30.0, 220.0
803.0, 30.0, 220.0
804.0, 29.0, 224.0
805.0, 26.0, 217.0
806.0, 28.0, 221.0
807.0, 29.0, 217.0
808.0, 31.0, 212.0
809.0, 32.0, 205.0
810.0, 32.0, 205.0
811.0, 36.0, 199.0
812.0, 36.0, 199.0
813.0, 32.0, 208.0
814.0, 32.0, 212.0
815.0, 27.0, 224.0
816.0, 21.0, 228.0
817.0, 21.0, 235.0
818.0, 21.0, 235.0
819.0, 17.0, 232.0
820.0, 21.0, 226.0
821.0, 25.0, 231.0
822.0, 25.0, 231.0
823.0, 26.0, 219.0
824.0, 30.0, 218.0
825.0, 27.0, 211.0
826.0, 31.0, 214.0
827.0, 31.0, 214.0
828.0, 31.0, 216.0
829.0, 25.0, 214.0
830.0, 25.0, 214.0
